"","Year","Sex","Age","Cause","Value"
"1",2017,"Male","Total","Certain infectious and parasitic diseases, ICD10",1329
"2",2017,"Male","Total","Septicaemia, ICD10",702
"3",2017,"Male","Total","Neoplasms, ICD10",26162
"4",2017,"Male","Total","Malignant neoplasms, ICD10",25524
"5",2017,"Male","Total","Malignant neoplasm of lip, oral cavity and pharynx, ICD10",601
"6",2017,"Male","Total","Malignant neoplasm of oesophagus, ICD10",925
"7",2017,"Male","Total","Malignant neoplasm of stomach, ICD10",719
"8",2017,"Male","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10",2371
"9",2017,"Male","Total","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10",1241
"10",2017,"Male","Total","Malignant neoplasm of pancreas, ICD10",1566
"11",2017,"Male","Total","Malignant neoplasm of trachea, bronchus and lung, ICD10",4911
"12",2017,"Male","Total","Malignant neoplasm of prostate, ICD10",3275
"13",2017,"Male","Total","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",2660
"14",2017,"Male","Total","Endocrine, nutritional and metabolic diseases, ICD10",3493
"15",2017,"Male","Total","Diabetes mellitus, ICD10",2583
"16",2017,"Male","Total","Mental and behavioural disorders, ICD10",3807
"17",2017,"Male","Total","Diseases of the nervous system, ICD10",4269
"18",2017,"Male","Total","Diseases of the circulatory system, ICD10",21391
"19",2017,"Male","Total","Hypertensive diseases, ICD10",850
"20",2017,"Male","Total","Ischaemic heart diseases, ICD10",10514
"21",2017,"Male","Total","Cerebrovascular diseases, ICD10",4302
"22",2017,"Male","Total","Diseases of arteries, arterioles and capillaries, ICD10",973
"23",2017,"Male","Total","Diseases of the respiratory  system, ICD10",8190
"24",2017,"Male","Total","Influenza, ICD10",508
"25",2017,"Male","Total","Pneumonia, ICD10",1432
"26",2017,"Male","Total","Chronic lower respiratory diseases, ICD10",4268
"27",2017,"Male","Total","Diseases of the digestive system, ICD10",3021
"28",2017,"Male","Total","Diseases of the liver, ICD10",1295
"29",2017,"Male","Total","Diseases of the musculoskeletal system and connective tissue, ICD10",490
"30",2017,"Male","Total","Diseases of the genitourinary system, ICD10",1702
"31",2017,"Male","Total","Disorders of kidney and ureter, ICD10",1276
"32",2017,"Male","Total","Certain conditions originating in the perinatal period, ICD10",339
"33",2017,"Male","Total","Congenital malformations, deformations and chromosomal abnormalities , ICD10",331
"34",2017,"Male","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10",1012
"35",2017,"Male","Total","External causes, ICD10",6799
"36",2017,"Male","Total","Accidents, ICD10",4041
"37",2017,"Male","Total","Transport accidents, ICD10",1019
"38",2017,"Male","Total","Falls, ICD10",1313
"39",2017,"Male","Total","Accidental poisoning by and exposure to noxious substances, ICD10",920
"40",2017,"Male","Total","Intentional self-harm, ICD10",2346
"41",2017,"Male","Total","All causes, ICD10",82858
"42",2017,"Male","0","Certain conditions originating in the perinatal period, ICD10",335
"43",2017,"Male","0","All causes, ICD10",562
"44",2017,"Male","20 - 24","External causes, ICD10",398
"45",2017,"Male","20 - 24","All causes, ICD10",506
"46",2017,"Male","25 - 29","External causes, ICD10",444
"47",2017,"Male","25 - 29","All causes, ICD10",601
"48",2017,"Male","30 - 34","External causes, ICD10",490
"49",2017,"Male","30 - 34","All causes, ICD10",748
"50",2017,"Male","35 - 39","External causes, ICD10",500
"51",2017,"Male","35 - 39","All causes, ICD10",919
"52",2017,"Male","40 - 44","External causes, ICD10",548
"53",2017,"Male","40 - 44","All causes, ICD10",1246
"54",2017,"Male","45 - 49","Neoplasms, ICD10",439
"55",2017,"Male","45 - 49","Malignant neoplasms, ICD10",425
"56",2017,"Male","45 - 49","Diseases of the circulatory system, ICD10",406
"57",2017,"Male","45 - 49","External causes, ICD10",542
"58",2017,"Male","45 - 49","All causes, ICD10",1856
"59",2017,"Male","50 - 54","Neoplasms, ICD10",832
"60",2017,"Male","50 - 54","Malignant neoplasms, ICD10",822
"61",2017,"Male","50 - 54","Diseases of the circulatory system, ICD10",522
"62",2017,"Male","50 - 54","Ischaemic heart diseases, ICD10",325
"63",2017,"Male","50 - 54","External causes, ICD10",401
"64",2017,"Male","50 - 54","All causes, ICD10",2398
"65",2017,"Male","55 - 59","Neoplasms, ICD10",1438
"66",2017,"Male","55 - 59","Malignant neoplasms, ICD10",1420
"67",2017,"Male","55 - 59","Diseases of the circulatory system, ICD10",798
"68",2017,"Male","55 - 59","Ischaemic heart diseases, ICD10",507
"69",2017,"Male","55 - 59","External causes, ICD10",408
"70",2017,"Male","55 - 59","All causes, ICD10",3603
"71",2017,"Male","60 - 64","Neoplasms, ICD10",2236
"72",2017,"Male","60 - 64","Malignant neoplasms, ICD10",2209
"73",2017,"Male","60 - 64","Malignant neoplasm of trachea, bronchus and lung, ICD10",521
"74",2017,"Male","60 - 64","Diseases of the circulatory system, ICD10",992
"75",2017,"Male","60 - 64","Ischaemic heart diseases, ICD10",592
"76",2017,"Male","60 - 64","Diseases of the respiratory  system, ICD10",341
"77",2017,"Male","60 - 64","All causes, ICD10",4834
"78",2017,"Male","65 - 69","Neoplasms, ICD10",3148
"79",2017,"Male","65 - 69","Malignant neoplasms, ICD10",3106
"80",2017,"Male","65 - 69","Malignant neoplasm of trachea, bronchus and lung, ICD10",726
"81",2017,"Male","65 - 69","Endocrine, nutritional and metabolic diseases, ICD10",327
"82",2017,"Male","65 - 69","Diseases of the circulatory system, ICD10",1431
"83",2017,"Male","65 - 69","Ischaemic heart diseases, ICD10",808
"84",2017,"Male","65 - 69","Diseases of the respiratory  system, ICD10",520
"85",2017,"Male","65 - 69","Chronic lower respiratory diseases, ICD10",322
"86",2017,"Male","65 - 69","External causes, ICD10",326
"87",2017,"Male","65 - 69","All causes, ICD10",6768
"88",2017,"Male","70 - 74","Neoplasms, ICD10",3848
"89",2017,"Male","70 - 74","Malignant neoplasms, ICD10",3773
"90",2017,"Male","70 - 74","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10",324
"91",2017,"Male","70 - 74","Malignant neoplasm of trachea, bronchus and lung, ICD10",865
"92",2017,"Male","70 - 74","Malignant neoplasm of prostate, ICD10",396
"93",2017,"Male","70 - 74","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",401
"94",2017,"Male","70 - 74","Endocrine, nutritional and metabolic diseases, ICD10",405
"95",2017,"Male","70 - 74","Diabetes mellitus, ICD10",317
"96",2017,"Male","70 - 74","Diseases of the nervous system, ICD10",438
"97",2017,"Male","70 - 74","Diseases of the circulatory system, ICD10",1988
"98",2017,"Male","70 - 74","Ischaemic heart diseases, ICD10",1070
"99",2017,"Male","70 - 74","Cerebrovascular diseases, ICD10",372
"100",2017,"Male","70 - 74","Diseases of the respiratory  system, ICD10",915
"101",2017,"Male","70 - 74","Chronic lower respiratory diseases, ICD10",584
"102",2017,"Male","70 - 74","All causes, ICD10",8793
"103",2017,"Male","75 - 79","Neoplasms, ICD10",4067
"104",2017,"Male","75 - 79","Malignant neoplasms, ICD10",3969
"105",2017,"Male","75 - 79","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10",366
"106",2017,"Male","75 - 79","Malignant neoplasm of trachea, bronchus and lung, ICD10",839
"107",2017,"Male","75 - 79","Malignant neoplasm of prostate, ICD10",506
"108",2017,"Male","75 - 79","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",441
"109",2017,"Male","75 - 79","Endocrine, nutritional and metabolic diseases, ICD10",461
"110",2017,"Male","75 - 79","Diabetes mellitus, ICD10",354
"111",2017,"Male","75 - 79","Mental and behavioural disorders, ICD10",362
"112",2017,"Male","75 - 79","Diseases of the nervous system, ICD10",651
"113",2017,"Male","75 - 79","Diseases of the circulatory system, ICD10",2574
"114",2017,"Male","75 - 79","Ischaemic heart diseases, ICD10",1258
"115",2017,"Male","75 - 79","Cerebrovascular diseases, ICD10",567
"116",2017,"Male","75 - 79","Diseases of the respiratory  system, ICD10",1161
"117",2017,"Male","75 - 79","Chronic lower respiratory diseases, ICD10",726
"118",2017,"Male","75 - 79","Diseases of the digestive system, ICD10",316
"119",2017,"Male","75 - 79","All causes, ICD10",10440
"120",2017,"Male","80 - 84","Neoplasms, ICD10",3925
"121",2017,"Male","80 - 84","Malignant neoplasms, ICD10",3812
"122",2017,"Male","80 - 84","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10",345
"123",2017,"Male","80 - 84","Malignant neoplasm of trachea, bronchus and lung, ICD10",652
"124",2017,"Male","80 - 84","Malignant neoplasm of prostate, ICD10",621
"125",2017,"Male","80 - 84","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",445
"126",2017,"Male","80 - 84","Endocrine, nutritional and metabolic diseases, ICD10",589
"127",2017,"Male","80 - 84","Diabetes mellitus, ICD10",467
"128",2017,"Male","80 - 84","Mental and behavioural disorders, ICD10",712
"129",2017,"Male","80 - 84","Diseases of the nervous system, ICD10",859
"130",2017,"Male","80 - 84","Diseases of the circulatory system, ICD10",3302
"131",2017,"Male","80 - 84","Ischaemic heart diseases, ICD10",1568
"132",2017,"Male","80 - 84","Cerebrovascular diseases, ICD10",749
"133",2017,"Male","80 - 84","Diseases of the respiratory  system, ICD10",1420
"134",2017,"Male","80 - 84","Chronic lower respiratory diseases, ICD10",766
"135",2017,"Male","80 - 84","Diseases of the digestive system, ICD10",379
"136",2017,"Male","80 - 84","Diseases of the genitourinary system, ICD10",313
"137",2017,"Male","80 - 84","External causes, ICD10",424
"138",2017,"Male","80 - 84","Accidents, ICD10",354
"139",2017,"Male","80 - 84","All causes, ICD10",12340
"140",2017,"Male","85 - 89","Neoplasms, ICD10",3383
"141",2017,"Male","85 - 89","Malignant neoplasms, ICD10",3267
"142",2017,"Male","85 - 89","Malignant neoplasm of trachea, bronchus and lung, ICD10",511
"143",2017,"Male","85 - 89","Malignant neoplasm of prostate, ICD10",726
"144",2017,"Male","85 - 89","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",376
"145",2017,"Male","85 - 89","Endocrine, nutritional and metabolic diseases, ICD10",577
"146",2017,"Male","85 - 89","Diabetes mellitus, ICD10",436
"147",2017,"Male","85 - 89","Mental and behavioural disorders, ICD10",1086
"148",2017,"Male","85 - 89","Diseases of the nervous system, ICD10",852
"149",2017,"Male","85 - 89","Diseases of the circulatory system, ICD10",4416
"150",2017,"Male","85 - 89","Ischaemic heart diseases, ICD10",1966
"151",2017,"Male","85 - 89","Cerebrovascular diseases, ICD10",994
"152",2017,"Male","85 - 89","Diseases of the respiratory  system, ICD10",1715
"153",2017,"Male","85 - 89","Pneumonia, ICD10",335
"154",2017,"Male","85 - 89","Chronic lower respiratory diseases, ICD10",806
"155",2017,"Male","85 - 89","Diseases of the digestive system, ICD10",416
"156",2017,"Male","85 - 89","Diseases of the genitourinary system, ICD10",397
"157",2017,"Male","85 - 89","Disorders of kidney and ureter, ICD10",314
"158",2017,"Male","85 - 89","External causes, ICD10",527
"159",2017,"Male","85 - 89","Accidents, ICD10",462
"160",2017,"Male","85 - 89","Falls, ICD10",318
"161",2017,"Male","85 - 89","All causes, ICD10",13879
"162",2017,"Male","90 - 94","Neoplasms, ICD10",1824
"163",2017,"Male","90 - 94","Malignant neoplasms, ICD10",1746
"164",2017,"Male","90 - 94","Malignant neoplasm of prostate, ICD10",455
"165",2017,"Male","90 - 94","Endocrine, nutritional and metabolic diseases, ICD10",401
"166",2017,"Male","90 - 94","Diabetes mellitus, ICD10",316
"167",2017,"Male","90 - 94","Mental and behavioural disorders, ICD10",883
"168",2017,"Male","90 - 94","Diseases of the nervous system, ICD10",487
"169",2017,"Male","90 - 94","Diseases of the circulatory system, ICD10",3249
"170",2017,"Male","90 - 94","Ischaemic heart diseases, ICD10",1454
"171",2017,"Male","90 - 94","Cerebrovascular diseases, ICD10",702
"172",2017,"Male","90 - 94","Diseases of the respiratory  system, ICD10",1233
"173",2017,"Male","90 - 94","Pneumonia, ICD10",338
"174",2017,"Male","90 - 94","Chronic lower respiratory diseases, ICD10",488
"175",2017,"Male","90 - 94","Diseases of the genitourinary system, ICD10",353
"176",2017,"Male","90 - 94","External causes, ICD10",403
"177",2017,"Male","90 - 94","Accidents, ICD10",373
"178",2017,"Male","90 - 94","All causes, ICD10",9514
"179",2017,"Male","95 +","Neoplasms, ICD10",459
"180",2017,"Male","95 +","Malignant neoplasms, ICD10",433
"181",2017,"Male","95 +","Diseases of the circulatory system, ICD10",1273
"182",2017,"Male","95 +","Ischaemic heart diseases, ICD10",553
"183",2017,"Male","95 +","Diseases of the respiratory  system, ICD10",456
"184",2017,"Male","95 +","All causes, ICD10",3301
"185",2017,"Female","Total","Certain infectious and parasitic diseases, ICD10",1307
"186",2017,"Female","Total","Septicaemia, ICD10",780
"187",2017,"Female","Total","Neoplasms, ICD10",20237
"188",2017,"Female","Total","Malignant neoplasms, ICD10",19706
"189",2017,"Female","Total","Malignant neoplasm of oesophagus, ICD10",340
"190",2017,"Female","Total","Malignant neoplasm of stomach, ICD10",442
"191",2017,"Female","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10",1927
"192",2017,"Female","Total","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10",673
"193",2017,"Female","Total","Malignant neoplasm of pancreas, ICD10",1430
"194",2017,"Female","Total","Malignant neoplasm of trachea, bronchus and lung, ICD10",3351
"195",2017,"Female","Total","Malignant neoplasm of female breast, ICD10",2898
"196",2017,"Female","Total","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",1839
"197",2017,"Female","Total","Endocrine, nutritional and metabolic diseases, ICD10",3327
"198",2017,"Female","Total","Diabetes mellitus, ICD10",2256
"199",2017,"Female","Total","Mental and behavioural disorders, ICD10",6350
"200",2017,"Female","Total","Diseases of the nervous system, ICD10",4936
"201",2017,"Female","Total","Diseases of the circulatory system, ICD10",22086
"202",2017,"Female","Total","Hypertensive diseases, ICD10",1467
"203",2017,"Female","Total","Ischaemic heart diseases, ICD10",8076
"204",2017,"Female","Total","Cerebrovascular diseases, ICD10",5884
"205",2017,"Female","Total","Diseases of arteries, arterioles and capillaries, ICD10",850
"206",2017,"Female","Total","Diseases of the respiratory  system, ICD10",8013
"207",2017,"Female","Total","Influenza, ICD10",740
"208",2017,"Female","Total","Pneumonia, ICD10",1582
"209",2017,"Female","Total","Chronic lower respiratory diseases, ICD10",4089
"210",2017,"Female","Total","Diseases of the digestive system, ICD10",2909
"211",2017,"Female","Total","Diseases of the liver, ICD10",621
"212",2017,"Female","Total","Diseases of the musculoskeletal system and connective tissue, ICD10",911
"213",2017,"Female","Total","Diseases of the genitourinary system, ICD10",1996
"214",2017,"Female","Total","Disorders of kidney and ureter, ICD10",1310
"215",2017,"Female","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10",926
"216",2017,"Female","Total","All other diseases, ICD10",320
"217",2017,"Female","Total","External causes, ICD10",3910
"218",2017,"Female","Total","Accidents, ICD10",2903
"219",2017,"Female","Total","Transport accidents, ICD10",352
"220",2017,"Female","Total","Falls, ICD10",1469
"221",2017,"Female","Total","Accidental poisoning by and exposure to noxious substances, ICD10",385
"222",2017,"Female","Total","Intentional self-harm, ICD10",778
"223",2017,"Female","Total","All causes, ICD10",78051
"224",2017,"Female","0","All causes, ICD10",457
"225",2017,"Female","30 - 34","All causes, ICD10",341
"226",2017,"Female","35 - 39","All causes, ICD10",476
"227",2017,"Female","40 - 44","All causes, ICD10",712
"228",2017,"Female","45 - 49","Neoplasms, ICD10",460
"229",2017,"Female","45 - 49","Malignant neoplasms, ICD10",454
"230",2017,"Female","45 - 49","All causes, ICD10",1124
"231",2017,"Female","50 - 54","Neoplasms, ICD10",821
"232",2017,"Female","50 - 54","Malignant neoplasms, ICD10",814
"233",2017,"Female","50 - 54","All causes, ICD10",1610
"234",2017,"Female","55 - 59","Neoplasms, ICD10",1183
"235",2017,"Female","55 - 59","Malignant neoplasms, ICD10",1170
"236",2017,"Female","55 - 59","All causes, ICD10",2262
"237",2017,"Female","60 - 64","Neoplasms, ICD10",1646
"238",2017,"Female","60 - 64","Malignant neoplasms, ICD10",1631
"239",2017,"Female","60 - 64","Malignant neoplasm of trachea, bronchus and lung, ICD10",341
"240",2017,"Female","60 - 64","Diseases of the circulatory system, ICD10",361
"241",2017,"Female","60 - 64","All causes, ICD10",2972
"242",2017,"Female","65 - 69","Neoplasms, ICD10",2209
"243",2017,"Female","65 - 69","Malignant neoplasms, ICD10",2186
"244",2017,"Female","65 - 69","Malignant neoplasm of trachea, bronchus and lung, ICD10",472
"245",2017,"Female","65 - 69","Malignant neoplasm of female breast, ICD10",332
"246",2017,"Female","65 - 69","Diseases of the circulatory system, ICD10",653
"247",2017,"Female","65 - 69","Diseases of the respiratory  system, ICD10",409
"248",2017,"Female","65 - 69","All causes, ICD10",4239
"249",2017,"Female","70 - 74","Neoplasms, ICD10",2613
"250",2017,"Female","70 - 74","Malignant neoplasms, ICD10",2568
"251",2017,"Female","70 - 74","Malignant neoplasm of trachea, bronchus and lung, ICD10",605
"252",2017,"Female","70 - 74","Malignant neoplasm of female breast, ICD10",330
"253",2017,"Female","70 - 74","Diseases of the nervous system, ICD10",347
"254",2017,"Female","70 - 74","Diseases of the circulatory system, ICD10",1028
"255",2017,"Female","70 - 74","Ischaemic heart diseases, ICD10",404
"256",2017,"Female","70 - 74","Diseases of the respiratory  system, ICD10",688
"257",2017,"Female","70 - 74","Chronic lower respiratory diseases, ICD10",494
"258",2017,"Female","70 - 74","All causes, ICD10",5742
"259",2017,"Female","75 - 79","Neoplasms, ICD10",2679
"260",2017,"Female","75 - 79","Malignant neoplasms, ICD10",2622
"261",2017,"Female","75 - 79","Malignant neoplasm of trachea, bronchus and lung, ICD10",495
"262",2017,"Female","75 - 79","Endocrine, nutritional and metabolic diseases, ICD10",341
"263",2017,"Female","75 - 79","Mental and behavioural disorders, ICD10",374
"264",2017,"Female","75 - 79","Diseases of the nervous system, ICD10",488
"265",2017,"Female","75 - 79","Diseases of the circulatory system, ICD10",1785
"266",2017,"Female","75 - 79","Ischaemic heart diseases, ICD10",631
"267",2017,"Female","75 - 79","Cerebrovascular diseases, ICD10",515
"268",2017,"Female","75 - 79","Diseases of the respiratory  system, ICD10",922
"269",2017,"Female","75 - 79","Chronic lower respiratory diseases, ICD10",609
"270",2017,"Female","75 - 79","All causes, ICD10",7577
"271",2017,"Female","80 - 84","Neoplasms, ICD10",2772
"272",2017,"Female","80 - 84","Malignant neoplasms, ICD10",2693
"273",2017,"Female","80 - 84","Malignant neoplasm of trachea, bronchus and lung, ICD10",419
"274",2017,"Female","80 - 84","Malignant neoplasm of female breast, ICD10",331
"275",2017,"Female","80 - 84","Endocrine, nutritional and metabolic diseases, ICD10",483
"276",2017,"Female","80 - 84","Diabetes mellitus, ICD10",368
"277",2017,"Female","80 - 84","Mental and behavioural disorders, ICD10",823
"278",2017,"Female","80 - 84","Diseases of the nervous system, ICD10",784
"279",2017,"Female","80 - 84","Diseases of the circulatory system, ICD10",3059
"280",2017,"Female","80 - 84","Ischaemic heart diseases, ICD10",1047
"281",2017,"Female","80 - 84","Cerebrovascular diseases, ICD10",885
"282",2017,"Female","80 - 84","Diseases of the respiratory  system, ICD10",1241
"283",2017,"Female","80 - 84","Chronic lower respiratory diseases, ICD10",702
"284",2017,"Female","80 - 84","Diseases of the digestive system, ICD10",414
"285",2017,"Female","80 - 84","External causes, ICD10",347
"286",2017,"Female","80 - 84","All causes, ICD10",10689
"287",2017,"Female","85 - 89","Neoplasms, ICD10",2804
"288",2017,"Female","85 - 89","Malignant neoplasms, ICD10",2673
"289",2017,"Female","85 - 89","Malignant neoplasm of trachea, bronchus and lung, ICD10",369
"290",2017,"Female","85 - 89","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10",313
"291",2017,"Female","85 - 89","Endocrine, nutritional and metabolic diseases, ICD10",704
"292",2017,"Female","85 - 89","Diabetes mellitus, ICD10",499
"293",2017,"Female","85 - 89","Mental and behavioural disorders, ICD10",1617
"294",2017,"Female","85 - 89","Diseases of the nervous system, ICD10",1115
"295",2017,"Female","85 - 89","Diseases of the circulatory system, ICD10",5134
"296",2017,"Female","85 - 89","Hypertensive diseases, ICD10",343
"297",2017,"Female","85 - 89","Ischaemic heart diseases, ICD10",1838
"298",2017,"Female","85 - 89","Cerebrovascular diseases, ICD10",1416
"299",2017,"Female","85 - 89","Diseases of the respiratory  system, ICD10",1639
"300",2017,"Female","85 - 89","Pneumonia, ICD10",336
"301",2017,"Female","85 - 89","Chronic lower respiratory diseases, ICD10",791
"302",2017,"Female","85 - 89","Diseases of the digestive system, ICD10",562
"303",2017,"Female","85 - 89","Diseases of the genitourinary system, ICD10",449
"304",2017,"Female","85 - 89","External causes, ICD10",580
"305",2017,"Female","85 - 89","Accidents, ICD10",552
"306",2017,"Female","85 - 89","Falls, ICD10",380
"307",2017,"Female","85 - 89","All causes, ICD10",15305
"308",2017,"Female","90 - 94","Neoplasms, ICD10",1801
"309",2017,"Female","90 - 94","Malignant neoplasms, ICD10",1691
"310",2017,"Female","90 - 94","Endocrine, nutritional and metabolic diseases, ICD10",618
"311",2017,"Female","90 - 94","Diabetes mellitus, ICD10",403
"312",2017,"Female","90 - 94","Mental and behavioural disorders, ICD10",1959
"313",2017,"Female","90 - 94","Diseases of the nervous system, ICD10",1066
"314",2017,"Female","90 - 94","Diseases of the circulatory system, ICD10",5621
"315",2017,"Female","90 - 94","Hypertensive diseases, ICD10",412
"316",2017,"Female","90 - 94","Ischaemic heart diseases, ICD10",2083
"317",2017,"Female","90 - 94","Cerebrovascular diseases, ICD10",1430
"318",2017,"Female","90 - 94","Diseases of the respiratory  system, ICD10",1559
"319",2017,"Female","90 - 94","Pneumonia, ICD10",439
"320",2017,"Female","90 - 94","Chronic lower respiratory diseases, ICD10",548
"321",2017,"Female","90 - 94","Diseases of the digestive system, ICD10",577
"322",2017,"Female","90 - 94","Diseases of the genitourinary system, ICD10",535
"323",2017,"Female","90 - 94","Disorders of kidney and ureter, ICD10",331
"324",2017,"Female","90 - 94","External causes, ICD10",635
"325",2017,"Female","90 - 94","Accidents, ICD10",612
"326",2017,"Female","90 - 94","Falls, ICD10",422
"327",2017,"Female","90 - 94","All causes, ICD10",15169
"328",2017,"Female","95 +","Neoplasms, ICD10",602
"329",2017,"Female","95 +","Malignant neoplasms, ICD10",567
"330",2017,"Female","95 +","Mental and behavioural disorders, ICD10",1281
"331",2017,"Female","95 +","Diseases of the nervous system, ICD10",467
